0.02	Ot_amL_stabiib
1.00	8
1.00	d
0.64	l
0.54	weod %
0.44	histol
0.25	Ril
0.84	Fms
0.81	₽
0.28	БФME
0.63	elons
0.07	ga
0.95	9
0.12	;
0.72	Tll
0.56	She
1.00	0
0.52	on
0.34	QIMNONSOLVTOn
0.78	#
0.10	EкE
0.71	$
0.11	or&e
0.28	cet mtrodue
0.98	6
0.21	Inne 6
0.21	s
0.01	Чas
0.07	$
0.02	#ug
0.85	Suecol
0.19	ceews ocry
0.49	@
0.09	43
0.52	Iscev
0.67	$
0.11	ta
1.00	#
0.14	х
0.59	Fc
0.20	8f
0.04	9   gmgWji4
0.50	xokmW
0.94	8
0.40	9
0.83	Mint
0.08	₽
0.57	NY
0.04	₽
0.07	@osla
0.68	M
0.40	21
0.65	Rl
0.90	8
0.97	8
0.65	dre
0.61	&
0.70	e
0.03	dinl:
0.39	Mhl
0.57	ISP
0.87	THE
0.11	SЖe .
0.27	6v@/2
0.99	&
0.33	Zler
0.54	ansc
0.57	digitk
0.79	Ul
0.62	$
0.29	2
0.03	I
0.91	Eqch 
0.06	1
0.37	'?
0.16	#
0.38	$
0.91	8
0.92	9
0.15	Е
0.12	5
0.11	toiutheby
0.22	$
0.12	{uэbSuci
0.07	#
0.23	g
0.45	$
0.06	8uug C
0.21	57
0.05	рко"s 
0.24	8li8
0.45	Ё
0.16	1
0.10	[4
0.98	#
0.50	00;
0.91	8
0.06	И10'
0.05	57o1a )
0.41	Mo
